0	2.4947
0.01	2.5127
0.02	2.5307
0.03	2.5486
0.04	2.5666
0.05	2.5846
0.06	2.6026
0.07	2.6205
0.08	2.6385
0.09	2.6565
0.1	2.6744
0.11	2.6924
0.12	2.7104
0.13	2.7283
0.14	2.7463
0.15	2.7643
0.16	2.7823
0.17	2.8002
0.18	2.8182
0.19	2.8362
0.2	2.8541
0.21	2.8721
0.22	2.8901
0.23	2.908
0.24	2.926
0.25	2.944
0.26	2.962
0.27	2.9799
0.28	2.9979
0.29	3.0159
0.3	3.0338
0.31	3.0518
0.32	3.0698
0.33	3.0877
0.34	3.1057
0.35	3.1237
0.36	3.1417
0.37	3.1596
0.38	3.1776
0.39	3.1956
0.4	3.2135
0.41	3.2315
0.42	3.2495
0.43	3.2674
0.44	3.2854
0.45	3.3034
0.46	3.3214
0.47	3.3393
0.48	3.3573
0.49	3.3753
0.5	3.3932
0.51	3.4112
0.52	3.4292
0.53	3.4471
0.54	3.4651
0.55	3.4831
0.56	3.5011
0.57	3.519
0.58	3.537
0.59	3.555
0.6	3.5729
0.61	3.5909
0.62	3.6089
0.63	3.6268
0.64	3.6448
0.65	3.6628
0.66	3.6808
0.67	3.6987
0.68	3.7167
0.69	3.7347
0.7	3.7526
0.71	3.7706
0.72	3.7886
0.73	3.8065
0.74	3.8245
0.75	3.8425
0.76	3.8605
0.77	3.8784
0.78	3.8964
0.79	3.9144
0.8	3.9323
0.81	3.9503
0.82	3.9683
0.83	3.9862
0.84	4.0042
0.85	4.0222
0.86	4.0402
0.87	4.0581
0.88	4.0761
0.89	4.0941
0.9	4.112
0.91	4.13
0.92	4.148
0.93	4.1659
0.94	4.1839
0.95	4.2019
0.96	4.2198
0.97	4.2378
0.98	4.2558
0.99	4.2738
1	4.2917
